the	1204816	0.07088129435243373
of	606545	0.03568403364745896
and	595372	0.03502670779703886
to	533653	0.03139567815754382
in	409406	0.024086024086377077
it	255012	0.015002772734926189
is	227908	0.013408200117922127
for	204432	0.01202706867028387
you	179282	0.010547453066769552
that	168659	0.009922484615233464
was	158470	0.009323049092998576
with	150610	0.008860632447128893
on	141239	0.008309321201779681
but	111337	0.006550137671907506
be	108187	0.006364818023753625
as	107588	0.00632957787478722
they	106782	0.006282159577513561
are	106108	0.006242507055972064
at	100272	0.0058991656379955406
by	98472	0.0057932686961933225
he	98408	0.00578950347159591
this	96575	0.005681665085860652
not	96492	0.005676782060210883
we	95024	0.005590417221007741
or	92829	0.00546128178364337
from	88433	0.005202657919108621
have	75789	0.004458790734582376
an	73833	0.004343716057823966
uh	71385	0.00419969621697295
were	69385	0.004082032948303819
do	68868	0.004051616993352849
his	59406	0.0034949520692791913
about	58578	0.0034462394760501713
has	57275	0.0033695818565122326
if	57238	0.0033674050860418537
just	55819	0.0032839229969211054
what	55752	0.0032799812774206892
like	54490	0.0032057357548904678
my	53275	0.003134255319173971
yeah	52301	0.003076953307332104
would	51778	0.0030461843625751266
all	50687	0.0029819990495161155
there	50605	0.002977174855500681
so	49919	0.0029368163543471693
had	48052	0.002826977693044536
when	47301	0.0027827951356592774
can	46908	0.002759674303365793
know	46581	0.00274043635893839
who	46273	0.002722316215563344
which	44725	0.002631244845613437
their	44191	0.002599828752878779
said	42294	0.0024882251425461083
she	41716	0.0024542204579007295
been	41507	0.0024419246463248056
well	40404	0.0023770333536537796
no	37856	0.0022271303493693073
than	37807	0.0022242475992869134
some	37701	0.0022180114460474496
will	37536	0.002208304226382246
because	37154	0.0021858305420664422
other	37040	0.002179123735752302
did	36141	0.0021262340964855278
me	34866	0.0020512237627089568
out	33928	0.0019960396897031342
them	33207	0.0019536220813479127
also	32854	0.0019328545144278112
people	32524	0.0019134400750974046
time	32253	0.0018974967021927374
think	31426	0.0018488429405980518
these	30673	0.001804542719944124
its	30511	0.0017950119951819245
now	30295	0.0017823043621656583
could	29657	0.0017447697794602055
then	29628	0.0017430636620645033
more	29003	0.0017062938906054
really	28836	0.0016964690076715274
into	28369	0.0016689946344372855
um	28113	0.0016539337360476367
her	27985	0.0016464032868528124
how	27126	0.0015958669129594206
your	25950	0.0015266809109819718
only	25500	0.0015002066755314173
oh	25230	0.0014843221342610846
after	23925	0.0014075468514544768
get	23821	0.001401428361483682
even	23677	0.0013929566061395046
our	23614	0.0013892502131764271
here	23340	0.0013731303453687561
where	23150	0.0013619523348451887
see	22971	0.0013514214722993015
up	22869	0.0013454206455971757
him	22750	0.0013384196811113626
good	22733	0.0013374195433276748
does	22386	0.0013170049662135808
over	21868	0.001286530179628276
any	21806	0.0012828826182995328
years	20467	0.0012041070599255498
those	20285	0.0011933997024766588
way	20183	0.001187398875774533
too	20168	0.0011865164012595146
may	20051	0.0011796331000423705
new	19233	0.001131508823156696
very	19226	0.001131097001716354
many	19217	0.001130567517007343
going	19163	0.0011273906087532766
right	19160	0.0011272141138502728
should	18859	0.0011095057919155687
first	18548	0.0010912091536375188
such	17930	0.0010548512036187574
year	17920	0.0010542628872754116
still	16806	0.000988724446626706
between	16571	0.000974899012558083
last	16448	0.0009676627215349315
something	16193	0.0009526606547796173
much	16112	0.0009478952923985175
both	16043	0.0009438359096294325
go	15946	0.0009381292410989797
each	15696	0.0009234213325153383
back	15684	0.0009227153529033235
lot	15558	0.0009153025669771682
same	14967	0.0008805330710854401
being	14828	0.0008723554739129355
through	14793	0.0008702963667112257
thing	14630	0.0008607068103146916
make	14470	0.0008512937488211611
things	14438	0.000849411136522455
before	14064	0.0008274081052813276
little	13756	0.0008092879619062814
cells	13547	0.0007969921503303573
got	13485	0.0007933445890016143
kind	13457	0.0007916973032402463
most	13310	0.0007830490529930653
never	13181	0.0007754597721639063
since	12909	0.0007594575676249046
while	12764	0.0007509269806463926
used	12702	0.0007472794193176495
might	12687	0.0007463969448026311
day	12372	0.000727864979987243
different	12230	0.0007195108879117346
another	12221	0.0007189814032027235
using	12158	0.000715275010239646
why	12039	0.0007082740457538326
around	11694	0.0006879771319084076
